name,rookie_yr,birth_state
Ben Sanders,1888,VA
Pop Schriver,1888,NY
Sam Shaw,1888,MD
Billy Shindle,1888,NJ
Skyrocket Smith,1888,MD
Bill Sowders,1888,KY
Harry Staley,1888,IL
Scott Stratton,1888,KY
Sy Sutcliffe,1888,IL
John Tener,1888,
George Townsend,1888,NY
Farmer Vaughn,1888,OH
Lee Viau,1888,VT
John Weyhing,1888,KY
Walt Wilmot,1888,WI
Chief Zimmer,1888,OH
Billy Alvord,1889,MO
George Bausewine,1889,PA
Ollie Beard,1889,KY
Jim Burns,1889,MO
Bart Cantz,1889,PA
Jack Carney,1889,
Spider Clark,1889,NY
Charlie Duffee,1889,AL
Jesse Duryea,1889,IA
Frank Dwyer,1889,MA
Billy Earle,1889,PA
Alex Ferson,1889,PA
Ed Flanagan,1889,MA
Hank Gastright,1889,KY
Ad Gumbert,1889,PA
George Haddock,1889,NH
Bill Hallman,1889,PA
Billy Hamilton,1889,NJ
Will Holland,1889,DE
Bug Holliday,1889,MO
Charlie Hoover,1889,IL
Bill Hutchinson,1889,CT
Spud Johnson,1889,Canada
Herman Long,1889,IL
Lefty Marr,1889,OH
Jimmy McAleer,1889,OH
John McCarty,1889,MO
Michael McDermott,1889,MA
Sadie McMahon,1889,DE
John Pickett,1889,IL
Tom Quinn,1889,MD
Harry Raymond,1889,NY
Amos Rusie,1889,IN
Dan Shannon,1889,CT
Harry Smith,1889,IN
Andy Sommers,1889,NY
John Sowders,1889,KY
Jack Stivetts,1889,PA
Park Swartzel,1889,IN
Pete Sweeney,1889,CA
Patsy Tebeau,1889,MO
Phil Tomney,1889,PA
Joe Visner,1889,MN
Farmer Weaver,1889,WV
Bob Allen,1890,OH
Dave Anderson,1890,PA
Jim Andrews,1890,MA
Joe Ardner,1890,OH
Kirtley Baker,1890,IN
Charlie Bartson,1890,IL
Tun Berger,1890,PA
Ned Bligh,1890,NY
Frank Bowes,1890,NY
Sumner Bowman,1890,PA
Grant Briggs,1890,PA
Steve Brodie,1890,VA
Eddie Burke,1890,PA
Jesse Burkett,1890,WV
Will Calihan,1890,NY
Ed Cartwright,1890,PA
Cupid Childs,1890,MD
Artie Clarke,1890,RI
Ben Conroy,1890,PA
Jimmy Cooney,1890,RI
Tommy Corcoran,1890,CT
Roscoe Coughlin,1890,MA
Jack Crooks,1890,MN
Vince Dailey,1890,NY
Bill Daley,1890,NY
George Davis,1890,NY
Bill Day,1890,PA
Patsy Donovan,1890,Ireland
Tom Dowse,1890,Ireland
Jack Doyle,1890,Ireland
Howard Earl,1890,NY
Jack Easton,1890,OH
Bones Ely,1890,PA
Duke Esper,1890,NJ
John Fitzgerald,1890,PA
Tom Ford,1890,TN
Pat Friel,1890,WV
Bill Garfield,1890,OH
Les German,1890,MD
Tom Gettinger,1890,MD
Bob Glenalvin,1890,IN
Herb Goodall,1890,PA
Ed Green,1890,NJ
Sandy Griffin,1890,NY
John Grim,1890,KY
Billy Gumbert,1890,PA
Jocko Halligan,1890,NY
Charlie Hamburg,1890,KY
Lou Hardie,1890,NY
Jerry Harrington,1890,OH
Billy Hart,1890,KY
George Hemming,1890,OH
Bill Higgins,1890,DE
Bill Husted,1890,NJ
Lefty Johnson,1890,
Bill Joyce,1890,MO
Joe Kappel,1890,PA
John Keefe,1890,MA
John Kelty,1890,NJ
Tom Kinslow,1890,DC
Malachi Kittridge,1890,MA
Billy Klusman,1890,OH
Frank Knauss,1890,OH
Phil Knell,1890,CA
Sam LaRocque,1890,
Mike Lehane,1890,NY
Ezra Lincoln,1890,MA
Bobby Lowe,1890,PA
Pat Luby,1890,SC
Ed Mars,1890,IL
Ed Mayer,1890,IL
Charlie McCullough,1890,Ireland
Willie McGill,1890,GA
Dave McKeough,1890,NY
George Meakim,1890,NY
Bob Miller,1890,NJ
Dusty Miller,1890,PA
John Munyan,1890,PA
Bob Murphy,1890,NY
Con Murphy,1890,MA
Morgan Murphy,1890,RI
Tom Nagle,1890,WI
Joe Neale,1890,OH
Kid Nichols,1890,WI
Parson Nicholson,1890,OH
Fred Osborne,1890,AB
Charlie Parsons,1890,PA
Bill Phillips,1890,Canada
Herman Pitz,1890,NY
John Rainey,1890,MI
Charlie Reilly,1890,RI
Billy Rhines,1890,PA
Fred Roat,1890,IL
Jack Ryan,1890,MA
Harry Sage,1890,IL
Ed Sales,1890,PA
Ted Scheffler,1890,NY
Frank Scheibeck,1890,MI
Crazy Schmit,1890,IL
Jack Sharrott,1890,NY
Tim Shinnick,1890,NH
Hank Simon,1890,NY
Will Smalley,1890,CA
Edgar Smith,1890,RI
Fred Smith,1890,Canada
John Sneed,1890,TN
Charlie Sprague,1890,OH
General Stafford,1890,CT
William Stecher,1890,
Ed Stein,1890,MI
Mike Sullivan,1890,MA
Harry Taylor,1890,NY
Tom Vickery,1890,MA
Jake Virtue,1890,PA
Jack Wadsworth,1890,OH
Jake Wells,1890,TN
Lew Whistler,1890,MO
Bill Whitrock,1890,OH
Bill Wilson,1890,MO
Rasty Wright,1890,MI
Cy Young,1890,OH
Charlie Bell,1891,OH
Tom Cahill,1891,MA
Jim Canavan,1891,MA
Kid Carsey,1891,NY
Ed Cassian,1891,MA
Jim Curtiss,1891,
Bill Dahlen,1891,NY
George Davies,1891,WI
John Dolan,1891,KY
John Doran,1891,PA
Tommy Dowd,1891,MA
Bill Eagan,1891,NJ
Ed Eiteljorge,1891,Germany
Warren Fitzgerald,1891,
Pete Gilbert,1891,CT
Bill Gray,1891,
Clark Griffith,1891,MO
Bert Inks,1891,IN
Hughie Jennings,1891,PA
Frank Killen,1891,PA
Bill Kling,1891,OH
Dan Lally,1891,NJ
Willard Mains,1891,ME
Jouett Meekin,1891,IN
Larry Murphy,1891,Canada
George Rettger,1891,OH
Frank Shugart,1891,PA
John Thornton,1891,DC
Bert Abbey,1892,VT
Theodore Breitenstein,1892,
Lew Camp,1892,OH
Fritz Clausen,1892,NY
George Cobb,1892,IA
Nig Cuppy,1892,IN
George Decker,1892,PA
Sam Dungan,1892,CA
Frank Genins,1892,MO
Bill Hawke,1892,DE
Pink Hawley,1892,WI
Alex Jones,1892,PA
Joe Kelley,1892,MA
Brickyard Kennedy,1892,OH
John McGraw,1892,NY
Jack McMahon,1892,CT
Bill Merritt,1892,MA
Gene Moriarty,1892,MA
Jiggs Parrott,1892,OR
Piggy Ward,1892,PA
Boileryard Clarke,1893,KY
Dad Clarkson,1893,NY
Dan Daub,1893,OH
Charlie Frank,1893,AL
Charlie Hastings,1893,OH
Willie Keeler,1893,NY
Bill Lange,1893,CA
Jim Long,1893,KY
Hal Mauck,1893,IN
Jack McCarthy,1893,MA
Gus McGinnis,1893,OH
Edgar McNabb,1893,OH
Jock Menefee,1893,WV
Frank Motz,1893,PA
Tom Parrott,1893,OR
Heinie Peitz,1893,MO
Charlie Petty,1893,TN
Heinie Reitz,1893,IL
Bill Rotes,1893,
George Sharrott,1893,NY
Jake Stenzel,1893,OH
Ben Stephens,1893,MI
Otis Stocksdale,1893,MD
Joe Sullivan,1893,MA
Jack Taylor,1893,MD
George Treadway,1893,KY
Tuck Turner,1893,NY
Charlie Abbey,1894,NE
Jimmy Bannon,1894,MA
Harry Blake,1894,OH
Stub Brown,1894,MD
